GeneName	SW480_T0_Rep1_TPM	SW480_T0_Rep2_TPM	SW480_T24_Rep1_TPM	SW480_T24_Rep2_TPM	SW480_T48_Rep1_TPM	SW480_T48_Rep2_TPM	SW480_T72_Rep1_TPM	SW480_T72_Rep2_TPM
MARS2	8.16	8.73	8.08	7.79	7.97	7.67	5.81	4.51
MARVELD1	3.37	2.96	3.19	2.95	3.68	3.13	3.93	2.73
MARVELD2	12.44	11.31	11.44	10.67	11.94	11.33	11.68	10.1
MARVELD3	5.88	6.64	4.97	5.57	5.48	5.88	6.56	5.4
MAS1	0	0	0	0	0.03	0.02	0	0
MAS1L	0	0	0	0	0	0	0.04	0
MASP1	0.02	0.01	0.07	0	0.03	0.1	0	0.11
MASP2	1.2	1.27	1.43	0.89	0.5	0.91	0.83	1.03
MAST1	4.07	3.09	3.38	3	2.37	2.91	2.32	1.82
MAST2	16.39	16.36	15.78	13.57	14.56	16.47	17	13.61
MAST3	2.71	3.16	2.96	2.9	3.14	3.49	3.8	4.13
MAST4	2.31	2.12	2.02	1.85	2.25	1.65	2.37	1.84
MASTL	9.67	9.87	7.19	7.07	8.43	7.55	6.73	5.38
MAT1A	1.43	0.83	0.79	0.53	0.6	0.91	0.95	1.45
MAT2A	222.85	233.23	220.26	212.57	198.25	200.51	231.53	187.14
MAT2B	25.73	26.04	22.59	24.29	28.3	30.21	27.52	22.26
MATK	0	0	0	0	0	0	0	0
MATN1	0.21	0.33	0.11	0.26	0.25	0.31	0.16	0.09
MATN2	0.43	0.2	0.33	0.15	0.26	0.34	0.12	0.18
MATN3	0.57	0.51	0.26	0.16	0.3	0.36	0.32	0.42
MATN4	0.03	0.05	0.02	0	0.12	0.06	0	0
MATR3	210.31	212.06	199.34	214.99	240.37	255.52	229.53	164.16000000000003
MAU2	21.97	23.35	23.22	19.01	21.57	20.27	18.16	13.49
MAVS	17.77	17.14	16.86	16.17	19.3	20.35	19.78	15.82
MAX	37.73	34.11	35.02	33.23	32.94	33.96	34.49	30.39
MAZ	148.7	136.98	152.14	148.12	142.06	143.06	145.38	106.15
MB	0	0	0.05	0	0.05	0.11	0	0
MB21D2	3.02	3.02	2.4	2.49	3.06	3.39	2.13	1.97
MBD1	27.2	26.44	25.22	25.2	24.17	25.14	24.8	19.3
MBD2	49.23	44.65	45.41	45.45	33.22	43.27	36.76	24.92
MBD3	30.88	33.72	29.49	27.94	28.35	28.85	18.24	14.38
MBD3L1	0	0	0	0	0.08	0	0	0
MBD3L2	0	0	0	0	0	0	0	0
MBD3L3	0	0	0	0.02	0.04	0.09	0.04	0.04
MBD3L4	0	0	0	0.02	0.04	0.09	0.04	0.04
MBD3L5	0	0	0	0	0	0	0	0
MBD4	14.85	13.16	12.75	14.79	13.53	14.59	18.21	11.17
MBD5	32.52	4.68	4.94	5.48	6.16	7.41	11.12	5.66
MBD6	2.9	3.47	2.92	2.81	2.97	2.69	3.69	3.13
MBIP	7.65	7.84	6.97	7.67	7.84	7.74	11.19	9.93
MBL2	0	0	0	0	0.03	0	0.01	0.03
MBLAC1	2.38	1.86	1.45	1.22	1.52	1.43	2.1	1.61
MBLAC2	4.13	3.72	3.5	3.84	3.08	3.58	2.37	1.9
MBNL1	30.43	31.76	31.98	28.19	36.42	33.68	49.95	41.01
MBNL2	14.38	15.11	12.48	11.69	13.93	13.22	14.23	11.89
MBNL3	0.55	0.55	0.68	0.57	0.49	0.82	0.81	0.77
MBOAT1	0.75	0.78	0.74	0.65	0.81	0.58	1.3	0.71
MBOAT2	39.81	42.15	37.3	40.91	38.97	39.95	40.43	29.99
MBOAT4	0.03	0.03	0	0.02	0	0.08	0.03	0.12
MBOAT7	32.42	36.36	35.29	34.95	37.25	35.3	42.84	35.84
MBP	9.43	9.82	10.25	8.8	9.5	10.45	11.61	10.26
MBTD1	8.58	9.75	9.03	8.99	11.15	10.99	11.16	9.9
MBTPS1	31.38	39.57	34.63	34.78	31.63	32.12	28.23	20.42
MBTPS2	4.01	4.47	5.43	4.46	5.15	6.14	4.2	4.36
MC1R	9.38	8.27	7.37	7.4	6.62	6.8	6.29	4.57
MC2R	0	0	0	0	0.01	0.03	0	0
MC3R	0	0	0	0	0	0	0	0
MC4R	0.12	0.18	0.03	0.11	0.09	0.28	0.31	0.15
MC5R	0	0	0.05	0.05	0	0	0	0
MCAM	4.97	4.49	3.79	3.31	3.08	2.62	1.75	2.2
MCAT	15.16	14.98	12.55	14.37	15.75	15.6	15.16	11.36
MCC	3.95	3.09	2.92	3.2	3.65	3.84	4.12	2.82
MCCC1	16.23	14.88	14.73	15.92	19.45	15.84	15.22	12.3
MCCC2	34.16	34.45	35.93	34.94	34.97	32.66	30.01	25.22
MCCD1	0.23	0.17	0.2	0.24	0.18	0.07	0.23	0
MCEE	7.17	7.65	6.85	8.41	6.92	5.91	6.79	5.04
MCEMP1	0.38	0.12	0.1	0.17	0.16	0.15	0.12	0.11
MCF2	0.09	0.05	0.02	0.08	0.06	0.03	0.11	0.09
MCF2L	18.82	21.33	16.32	16.16	17.18	17.52	11.16	9.19
MCF2L2	0.33	0	0.18	0.35	0.2	0.24	0.05	0.03
MCFD2	22.89	24.31	25.22	24.83	27.73	27.62	30.25	20.96
MCHR1	0	0	0	0	0.11	0.13	0	0.02
MCHR2	0	0	0	0	0	0	0	0
MCIDAS	1.3	1.39	1.33	0.91	1.2	0.69	0.75	0.84
MCL1	51.14	53.08	44.06	46.91	52.04	56.34	54.46	39.56
MCM10	11.09	13.89	10.1	10.98	9.09	10.59	9.47	7.84
MCM2	53.24	52.08	46.93	41.56	46.6	47.47	45.84	34.24
MCM3	62.74	67.09	52.92	54.46	54.63	54.36	59.48	43.6
MCM3AP	55.78	56.89	49.72	47.43	46.59	46.75	40.69	25.48
MCM4	100.6	89.55	72.28	70.66	77.21	79.27	82.06	81.28
MCM5	38.42	40.57	30.48	30.99	31.29	32.84	35.06	25.67
MCM6	27.58	30.13	22.07	20.82	23.48	23.36	17.42	13.83
MCM7	243.05	239.37	190.93	182.72	196	194.4	206.84	153.5
MCM8	17.7	18.04	15.84	16	15.01	14.77	13.98	9.76
MCM9	7.27	6.38	6.57	5.98	7.23	7.06	6.09	4.96
MCMBP	37.55	37.58	31.99	34.48	35.66	33.86	28.12	21.07
MCMDC2	0.42	0.54	0.5	0.46	0.45	0.45	0.37	0.32
MCOLN1	6.75	6.8	6.76	6.64	6.33	6.21	8.5	5.12
MCOLN2	3.03	3.75	2.71	2.72	2.22	2	2.6	1.55
MCOLN3	3.42	3.86	3.61	3.25	3.48	3.25	3.4	3.04
MCPH1	11.65	11.76	10.71	10.82	11.93	11.15	12.49	7.15
MCRIP1	28.15	30.05	23.52	22.35	30.8	33.18	36.18	27.66
MCRIP2	49.41	53.76	43.58	44.78	37.37	43.47	35.18	28.05
MCRS1	35.68	35.12	36.02	36.65	36.44	36	30.42	24.23
MCTP1	20.79	21.99	21.9	21.92	32.3	30.74	41.22	27.43
MCTP2	5.36	5.98	6.53	6.43	9.36	8.85	11.02	8.2
MCTS1	40.41	42.15	43.89	46.61	43.62	49.71	38.13	27.37
MCTS2P	15.81	14.43	13.18	11.97	9.3	11.48	11.35	6.89
MCU	10.06	10.1	8.59	9.86	9.64	9.2	12.2	7.84
MCUB	4.92	5.21	4.28	4.38	5.03	5.45	2.92	2.13
MCUR1	14.33	14.05	18.08	16.92	16.56	18.29	19.48	14.5
MDC1	9.8	10.86	8.75	8.98	6.68	7.29	7.01	6.29
MDFI	27.72	25.22	30.48	25.74	36.06	34.87	43.06	32.77
MDFIC	0.19	0.4	0.49	0.38	1.25	1.06	2.23	4.41
MDGA1	0.17	0.11	0.47	0.27	0.3	0.32	0.57	0.37
MDGA2	0.07	0.11	0.08	0.06	0.36	0.06	0.23	0.26
MDH1	106.04	111.58	104.27	115.51	121.91	123.65	95.32	73.35
MDH1B	1.37	1.04	1.09	1.18	1.9	1.84	3.09	2.79
MDH2	232.94	219.35	232.19	211.59	242.23	238.19	216.27	177.28
MDK	51.18	50.17	44.78	39.7	38.18	37.41	35.99	32.29
MDM1	7.69	7.12	6.53	7.68	6.92	8.79	8.1	5.58
MDM2	69.45	79.59	59.12	61.38	66.96	72.36	56.05	44.06
MDM4	20.35	18.35	14.29	16.56	13.8	11.74	16.12	12.6
MDN1	10.95	11.99	7.7	7.63	7.14	6.68	6.64	5.18
MDP1	8.52	11.34	10.9	10.86	10.2	12.63	11.54	7.95
ME1	9.62	10.69	9.81	10.62	10.36	10.05	6.35	5.64
ME2	29.58	32.42	31.43	33.25	32.75	33.17	28.35	24.04
ME3	12.82	11.86	12.65	12.66	11.37	13.46	15.66	13.58
MEA1	37.2	35.32	35.18	32.71	38.16	40.07	43.32	29.07
MEAF6	27.59	26.5	23	22.81	24.76	26.54	25.08	17.51
MECOM	0.55	0.85	0.91	0.48	0.95	0.74	0.96	1.07
MECP2	23.51	23.82	23.71	20.64	24.32	26.15	24.37	19.33
MECR	13.54	13.58	13.16	12.25	12.43	16	10.45	8.78
MED1	16.12	17.29	17.37	15.94	17.33	16.7	13.78	13.36
MED10	43.69	43.82	38.01	37.03	38.65	38.62	33.48	29.48
MED11	9.17	11.63	10.56	10.14	9.39	10.21	12.03	8.08
MED12	6.56	9.75	8.91	6.86	8.58	8.03	14.04	14.09
MED12L	0.56	1.06	0.89	0.99	0.63	1.11	1.1	0.94
MED13	31.74	32.57	29.11	29.32	32.71	30.13	39.28	28.7
MED13L	13.46	16.81	13.12	15.32	10.92	13.63	11.38	9.8
MED14	18.39	16.24	15.25	15.71	17.4	18.8	21.11	18.17
MED15	10.88	10.77	12.74	10.2	10.23	8.68	12.91	12.32
MED16	6.98	7.27	7.68	5.61	6.71	7.28	6.32	6.92
MED17	19.97	20.75	17.58	18.64	21.55	20.48	20.96	16.77
MED18	6.61	6.08	6.04	5.59	8.15	6.47	5.82	3.5
MED19	16.66	16.87	18.01	17.42	17.41	19.07	17.96	14.95
MED20	10.01	9.76	10.36	9.43	11.26	9.84	10.65	8.01
MED21	46.24	45.31	45.26	43.63	48.17	55.86	53.97	47.52
MED22	14.95	14.85	13.89	12.96	10.88	10.03	9.69	8.67
MED23	10.15	11.28	10.35	10.2	10.96	10.5	12.38	8.6
MED24	34.46	34.13	30.43	27.97	21.74	21.05	17.32	14.97
MED25	15.03	18.17	17.47	15.28	19.11	17.1	24.7	22.26
MED26	5.06	5.36	4.41	3.99	4.18	4.03	5.03	3.46
MED27	10.23	12.11	9.73	9.66	10.09	10.38	8.13	7.62
MED28	12.29	15.27	17.09	14.03	18.52	17.09	19.56	12.29
MED29	20.94	20.43	20.48	20.73	20.41	20.42	20.62	15.09
MED30	7.25	8.76	6.73	8.18	6.62	6.95	4.1	3.46
MED31	3.92	6.04	4.61	4.62	4.14	6.14	5.48	3.78
MED4	23.45	24.6	22.71	21.48	25.82	27.89	23.32	18.4
MED6	27.7	26.39	23.99	28.53	27.15	28.31	30.15	20.86
MED7	4.81	5.06	5.06	5.15	4.41	5.18	5.72	3.76
MED8	27.78	26.27	21.85	22.91	22.88	23.01	16.75	12.65
MED9	6.11	5.82	5.13	4.94	5.53	5.74	5.02	4.44
MEDAG	0.15	0.1	0.02	0.1	0.11	0.15	0.02	0
MEF2A	13.44	15.48	12.82	13.23	13.26	16.33	14.14	11.16
MEF2B	23.85	27.02	20.51	18.1	15.99	18.03	1.87	3.82
MEF2C	1.1	1.33	1	1.53	6.06	5.65	12.9	10.5
MEF2D	4.98	4.87	3.91	3.95	4.71	4.37	6.05	5.02
MEFV	0.05	0.05	0.1	0.03	0.11	0.07	0.06	0.02
MEGF10	0.02	0.27	0.04	0.1	0.07	0.13	0.16	0.03
MEGF11	5.03	3.63	6.67	4.94	4.35	4.15	2.25	2.49
MEGF6	24.93	27.23	27.37	28.35	16.65	17.15	11.7	7.4
MEGF8	12.13	12.3	11.55	10.28	12.28	11.78	11.19	8.94
MEGF9	3.3	3.5	2.72	2.76	3.62	3.6	3.76	3.55
MEI1	0.2	0.88	0.58	0.35	0.75	0.43	0.69	0.52
MEI4	0.01	0.01	0.03	0.05	0.03	0.03	0.04	0.04
MEIG1	0.38	0.15	0.22	0.3	0.31	0.15	0	0.18
MEIKIN	0	0	0	0	0	0	0	0
MEIOB	0	0	0.03	0.06	0.03	0.04	0.06	0
MEIOC	0.32	0.41	0.46	0.25	0.27	0.44	0.61	0.47
MEIS1	2.35	2.61	2.37	2.71	2.36	4.28	3.95	4.91
MEIS2	1.36	1.15	0.75	0.89	2.42	2.08	2.06	2.53
MEIS3	9.73	9.3	8.77	7.75	7.34	9.16	8.3	5.24
MELK	15.91	15.66	13.42	14.57	13.8	14.26	12.69	10.36
MELTF	7.76	6.7	6.74	5.6	5.19	4.77	3.49	2.46
MEMO1	50.3	52.31	43.6	44.86	43.56	44.42	31.17	26.29
MEN1	22.56	21.91	24	20.46	21.01	23.09	21.45	18.46
MEOX1	0	0.04	0	0	0	0	0	0.06
MEOX2	0.78	0.96	1.02	1.11	1.5	1.52	3.04	2.43
MEP1A	0	0.03	0	0	0.02	0	0.03	0
MEP1B	0	0.02	0.02	0	0.14	0	0.04	0
MEPCE	54.32	48.81	49.5	46.24	49.72	48.03	48.06	38.03
MEPE	0	0	0	0	0	0	0	0
MERTK	0.4	0.28	0.27	0.2	0.27	0.49	0.28	0.35
MESP1	0.74	0.69	1.62	1.1	1.74	1.55	1.55	0.9
MESP2	0.09	0.18	0	0.04	0.14	0.1	0.1	0.04
MEST	150.25	157.34	148.16	140.88	162.25	160.66	145.61	119.29
MET	23.46	23.59	23.76	23.77	28.34	27.64	25.75	17.13
METAP1	24	25.37	21.46	25.6	24.04	24.54	22.15	18.02
METAP1D	3.37	2.27	3.28	3.54	3.15	3.51	2.69	2.31
METAP2	129.35	125.09	125.6	123.67	125.28	126.13	112.42	92.86
METRN	9.91	13.04	11.6	10.2	10.14	10.2	5.94	6.85
METRNL	6.48	7.15	3.89	3.82	5.14	5.01	3.76	2.85
METTL1	18.4	16.26	18.1	16.12	13.8	14.31	12.47	11.46
METTL11B	0	0.05	0.07	0.05	0	0	0	0
METTL14	16.16	20.83	19.12	20.19	19.8	19.52	22.53	17.73
METTL15	7.52	8.92	7.65	7.48	8.9	8.87	7.34	4.63
METTL16	11.05	11.2	12.73	11.05	9.19	11.37	9.18	7.65
METTL17	52.44	52.25	50.13	50.94	40.4	43.82	48.61	36.12
METTL18	4.64	4.99	3.88	4.43	4.44	5.02	4.09	2.38
METTL21A	11.76	13.84	11.15	10.62	10.32	10.64	9.38	7.4
METTL21C	0.05	0.05	0	0	0	0.06	0	0
METTL22	16.29	17.96	18.25	17.26	15.37	14.68	15.33	10.95
METTL23	20.25	21.95	19.58	21.26	21.77	21.56	19.89	14.56
METTL24	0	0	0	0	0.05	0	0	0
METTL25	3.43	4.51	3.49	3.65	3.26	3.85	3.93	2.83
METTL26	71.96	61.57	65.7	64.45	54.22	61.54	47	37.65
METTL2A	22.9	23.34	20.18	20.71	21.23	22.22	19.12	13.57
METTL2B	26.32	26.73	25.43	26.41	29.16	28.2	24.31	18.29
METTL3	30.94	29.85	28.82	28.24	25.53	25.95	27.53	21.11
METTL4	11.01	11.19	10.82	10.11	8.37	8.58	6.3	5.31
METTL5	68.87	80.08	76.28	81	76.5	79.8	55.77	45.76
METTL6	10.99	12.65	11.93	11.68	11.31	9.77	7.89	5.82
METTL7A	0.79	1.01	1.05	1.25	2.4	1.98	2.34	2.4
METTL7B	6.63	6.32	6.39	5.97	9.41	9.85	10.5	8.39
METTL8	18.31	17.73	16.49	14.52	14.06	16.72	17.77	9.69
METTL9	55.58	58.07	54.42	59.34	69.65	73.68	63.09	43.99
MEX3A	13.07	11.52	12.16	10.83	10.84	10.76	10.51	8.76
MEX3B	0.96	0.92	1.12	0.91	1.32	1.41	1.36	1.2
MEX3C	31.98	31.74	30.88	31.66	29.04	29.78	24.91	23.66
MEX3D	4.6	4.6	3.5	3.66	4.62	4.48	3.88	3.5
MFAP1	20.04	17.69	18.27	18.27	20.64	19.36	23.35	15.7
MFAP2	79.82	79.76	81.91	79.21	87.35	85.41	91.09	75.11
MFAP3	12.92	13.77	12.29	13	12.25	11.13	9.11	6.94
MFAP3L	1.68	1.99	1.07	1.73	1.48	1.9	1.24	1.18
MFAP4	0.69	0.69	1.16	1.18	2.27	2.15	0.97	1.37
MFAP5	0.12	0.27	0.61	0.16	0.43	0.46	3.54	3.06
MFF	40.48	35.7	39.14	41.45	42.67	42.37	35.2	25.5
MFGE8	9.41	8.77	7.96	5.76	10.71	9.68	14.92	9.62
MFHAS1	11.29	10.36	8.88	8.9	10.06	9.67	6.56	5.56
MFN1	18.39	16.89	15.36	18.15	22.84	18.81	17.84	14.33
MFN2	48.98	49.07	42.2	40.37	45.35	44.48	48.67	36.34
MFNG	2.85	2.6	1.87	1.09	1.86	2.28	1.65	0.79
MFRP	0.02	0	0	0.02	0.08	0.02	0.02	0.01
MFSD1	10.53	9.36	8.33	10.35	11.17	13.11	12.24	6.45
MFSD10	41.37	43.79	33.97	35.35	31.53	34.08	27.94	23.55
MFSD11	18.71	19.1	15	17.36	22.35	24.5	26.35	18.56
MFSD12	27.01	26.48	23.6	22.67	21.88	22.89	19.06	14.33
MFSD13A	6.35	5.89	6.58	5.62	5.39	5.27	6.09	4.95
MFSD14A	15.88	18.17	15.35	15.69	17.13	16.8	16.97	11.31
MFSD14B	14.94	16.24	13.49	12.89	14.43	14.14	10.22	8.05
MFSD2A	11.9	11.2	9.18	8.73	10.31	8.63	7.45	6.1
MFSD2B	0.5	0.66	0.28	0.34	0.48	0.82	0.27	0.19
MFSD3	12.32	13.93	12.01	10.85	9.46	10.99	10.57	8.03
MFSD4A	0.21	0.57	0.56	0.41	0.13	0.31	0.48	0.77
MFSD4B	2.53	2.24	2.22	2.15	2.28	2.14	2.14	1.57
MFSD5	6.48	5.15	6	5.24	6.2	8.09	7.65	6.48
MFSD6	21.76	22.98	20.46	20	22.92	27.57	22.91	15.91
MFSD6L	0.25	0.44	0.44	0.43	0.37	0.29	0.14	0.05
MFSD8	5.8	7.62	3.71	5.32	4.89	5.1	6.07	4.38
MFSD9	17.15	16.96	12.89	13.19	15.96	16.97	22.87	14.7
MGA	12.48	12.38	12.19	12.72	12.21	12.19	12.07	8.1
MGAM	0.03	0.13	0	0.04	0.11	0.05	0.11	0.04
MGAM2	0.1	0.03	0.07	0.04	0.1	0.15	0.1	0.04
MGARP	0.3	0.15	0.2	0.05	0.08	0.18	0.19	0.05
MGAT1	26.39	28.32	24.83	24.05	28.4	29.54	27.93	18.59
MGAT2	14.58	12.76	13.39	13.78	16.37	16.85	14.08	9.85
MGAT3	2.99	3.9	4.82	3.84	4.24	6.06	3.45	3
MGAT4A	10.85	11.63	8.9	10.44	6.74	8.52	5.79	3.8
MGAT4B	67.64	64.93	67.07	64.47	58.24	58.59	68.06	51.1
MGAT4C	2.71	3.59	2.5	2.29	4.23	5.68	6.74	4.45
MGAT4D	0	0	0	0	0	0.01	0	0
MGAT5	39.2	38.9	43.16	44.04	57.95	59.66	64.24	49.02
MGAT5B	1.71	1.89	1.3	1.86	1.13	1.49	0.92	1.08
MGLL	0.35	0.25	0.32	0.48	0.83	1.08	2	1.18
MGME1	15.42	16.75	13.63	14.98	15.58	13.83	14.05	10.18
MGMT	3.01	3.79	2.91	3.59	4.14	3.64	3.6	2.8
MGP	0	0	0	0.02	0	0	0.17	0.3
MGRN1	18.97	18.68	19.24	15.49	17.41	17.99	15.09	13.84
MGST1	42.19	46.42	43.3	37.66	50.73	49.9	64.04	54.4
MGST2	30.63	29.09	25.22	27.02	37.2	37.05	42.06	28.75
MGST3	50.03	51.93	44.63	48.48	59.09	63.68	61.55	44.76
MIA	1.02	1.84	1.8	1.41	1.83	0.75	2.03	0.45
MIA-RAB4B	0	0	0	0	0	0	0	0
MIA2	0.46	1.02	0.07	1.8	0	0.85	1.5	0
MIA3	35.25	34.62	34.4	30.74	37.54	31.32	50.34	40.71
MIB1	29.08	29.52	26.61	28.28	25.47	26.22	19.6	15.49
MIB2	41.44	37.28	37.31	33.42	26.27	32.56	31.17	27.03
MICA	7.79	8.4	5.87	6.06	9.69	9.06	13.54	9.78
MICAL1	11.28	13.08	12.76	12.9	10.59	10.78	12.57	8.88
MICAL2	22.15	22.3	26.77	23.93	24.85	25.58	16.71	13.83
MICAL3	11.36	10.93	7.97	8.29	9.79	8.01	9.59	9.78
MICALL1	13.25	12.9	12.2	11.66	11.74	14.15	8.5	6.39
MICALL2	21.7	23.83	24.69	23.13	17.46	16.97	22.17	18.62
MICB	3.82	4.68	4.21	3.28	5.02	4.69	8.11	6.92
MICU1	15.79	16.66	14.15	15.19	17.01	18.01	18.82	15.17
MICU2	22.77	23.92	22.5	23.54	24.45	24.78	20.96	15.44
MICU3	0.01	0.03	0.06	0.08	0.12	0.07	0.19	0.29
MID1	12.17	9.9	12.25	10.51	11.7	12.85	14.42	10.81
MID1IP1	40.33	41.95	34.02	33.4	35.62	36.62	35.83	29.87
MID2	1.36	2.02	1.59	1.64	1.65	2.8	1.79	1.37
MIDN	11.79	11.17	11.57	9.2	8.9	10.63	11	11.79
MIEF1	18.62	17.05	18.13	14.62	15.08	16.06	13.16	10.93
MIEF2	5.76	6.44	4.74	5.75	4.58	5.06	5.03	3.12
MIEN1	35.31	35.94	34.82	34.51	43.41	39.67	45.76	34.05
MIER1	18.96	19.16	20.72	21.91	23.44	23.91	32.29	26.04
MIER2	8.04	7.7	8.13	6.45	6.16	6.43	8.85	7.43
MIER3	8.21	9.14	7.09	9.11	8.79	10.49	10.1	5.95
MIF	288.11	288.45	319.77	298.28	293.38	313.21	274.79	238.88
MIF4GD	17.53	16.05	18.25	17.62	18.3	17.94	16.19	11.64
MIGA1	3.42	3.57	4.41	4.79	4.99	5.87	7.6	6.2
MIGA2	13.94	13.06	13.4	13.51	10.15	12.01	10.31	8.36
MIIP	24.86	24.77	22.81	21.91	18.84	19	20.17	15.27
MILR1	0.08	0	0	0.06	0.22	0.12	0.08	0.12
MINDY1	2.81	2.94	3.15	2.4	2.85	3.35	4.04	2.62
MINDY2	5.56	5.63	4.59	4.59	4.06	4.26	4.18	3.4
MINDY3	9.2	10.38	9.71	10.57	11.46	9.21	8.76	5.15
MINDY4	1.82	2.01	2.04	1.88	2.26	2.32	2.56	1.78
MINDY4B	0	0	0	0	0	0	0	0
MINK1	19.51	21.11	20.09	18.07	16.49	16.25	22.88	20.49
MINPP1	8.21	8.66	8.8	8.98	11.74	11.11	11.35	7.81
MIOS	18.92	21.94	20.34	19.16	20.19	18.42	16.51	10.69
MIOX	1.11	0.68	0.48	0.42	0.84	0.58	0.41	0.28
MIP	0.42	0.42	0.16	0.3	0.38	0.29	0.37	0.16
MIPEP	9.76	9.04	10.44	9.63	10.74	9.83	8.46	7.15
MIPOL1	3.92	5.55	3.91	3.84	5.05	4.23	5.83	4.61
MIS12	13.28	10.84	12	11.99	12.08	12.49	9.68	7.41
MIS18A	17.52	15.08	16.22	17.97	18.47	18.52	14.62	10.29
MIS18BP1	18.48	18.71	17.46	17.41	16.92	16.89	17.45	15.42
MISP	17.24	17.55	16.27	15.29	14.44	15.49	9.72	7.55
MISP3	9.2	10.18	8.33	8.45	9.43	9.55	8.62	6.73
MITD1	24.8	26.45	25.1	26.71	25.7	24.25	24.42	18.13
MITF	0.41	0.48	0.39	0.65	0.36	0.43	0.23	0.34
MIXL1	0.24	0.21	0.13	0.12	0.38	0.25	0.36	0.36
MKI67	13.63	13.26	13.97	10.83	8.82	8.47	9.02	8.17
MKKS	162.89	110.65	150.65	118.04	141.66	124.65	148.04	96.11
MKLN1	21.71	21.44	17.04	19.23	20.5	20.84	19.57	13.23
MKNK1	9.73	11.07	10.55	8.74	8.13	10.67	10.17	7.94
MKNK2	57.81	56.89	55.81	53.04	59.41	61.03	56.75	45.36
MKRN1	49.09	44.74	59.37	55.22	64.98	65.43	91.37	62.08
MKRN2	13.2	15.31	15.18	14.33	14.73	17.66	13.71	10.85
MKRN2OS	0.64	0.6	0.42	0.73	1.45	1.3	2.47	2.12
MKRN3	0.3	0.57	0.33	0.2	0.32	0.72	0.14	0.03
MKS1	17.57	18.06	17.83	17.04	16.95	17.51	16.33	13.09
MKX	3.98	3.43	4.53	3.04	3.9	4.52	3.64	3.3
MLANA	0.19	0.23	0.13	0.17	0.17	0.09	0.1	0.21
MLC1	0.2	0.22	0.13	0.16	0.21	0.46	0.4	0.26
MLEC	56.94	58.25	60.27	56.42	62.97	59.68	66.02	48.51
MLF1	12.66	15.27	12.55	13.65	13.6	17.74	13.95	10.29
MLF2	101.94	98.07	96.29	96.38	105.13	101.77	115.98	91.46
MLH1	17.55	21.09	21.43	21.22	16.23	20.21	15.98	15.89
MLH3	11.77	12.07	10.2	10.93	10.24	10.14	13.81	10.72
MLIP	0	0	0.01	0.05	0.28	0.23	0.44	0.27
MLKL	4.08	3.25	3.66	3.13	3.83	3.39	6.07	5.33
MLLT1	11.66	12.01	12.83	9.23	10.82	10.72	9.68	8.65
MLLT10	14.57	14.7	12.85	11.98	13.09	10.82	9.69	9.85
MLLT11	8.29	8.75	8.03	8.1	9.61	8.75	10.63	8.71
MLLT3	4	5.01	4.27	4.65	7.22	6.76	7.3	6.21
MLLT6	66.2	67.2	54.03	50.65	44.03	45.9	42.95	33
MLN	0	0	0	0	0	0	0	0
MLNR	0.04	0.08	0.07	0.05	0.09	0.1	0.09	0.05
MLPH	0.16	0.27	0.46	0.2	0.5	0.59	0.2	0.38
MLST8	52.56	54.69	58.41	51.91	49.7	47.34	35.04	29.1
MLX	18.05	17.21	14.99	15.01	16.92	14.76	18.6	16.37
MLXIP	10.15	11.31	9.13	9.82	9.09	8.91	12.82	9.96
MLXIPL	30.1	32.49	27.44	23.81	13.29	15.01	11.63	9.73
MLYCD	1.85	1.8	1.65	1.84	1.97	1.97	1.9	1.65
MMAA	3.07	3.82	5.2	3.5	4.66	3.73	4.35	2.69
MMAB	35.05	34.65	32.05	31.71	31.88	36.89	29.51	22.75
MMACHC	9.46	7.16	6.7	7.27	9.28	7.4	7.99	7.26
MMADHC	56.57	62.93	58.74	64.44	67.47	67.71	49.86	38.49
MMD	4.36	4.4	3.43	3.15	4.29	3.87	4.88	3.9
MMD2	0	0	0	0	0	0	0	0
MME	4.98	5	8.11	7.75	9.85	10.48	13.72	9.65
MMEL1	0.34	0.1	0.12	0.41	0.58	0.32	0.96	1.11
MMGT1	14.72	16.43	14.46	15.15	16.45	16.87	13.94	12.68
MMP1	0.03	0.02	0.07	0	0.16	0.26	0.28	0.18
MMP10	0	0	0.1	0.02	0.11	0.25	0.17	0.13
MMP11	3.95	4.45	3.56	3.43	4.4	5.98	5.06	3.33
MMP12	0	0	0	0	0	0	0.05	0
MMP13	0.04	0.04	0.06	0.05	0.19	0.16	0.79	0.44
MMP14	3.36	3.72	3.11	3.16	4.37	3.58	7.22	5.72
MMP15	2.78	3.07	2.37	2.34	3.57	3.01	3.71	2.78
MMP16	0.36	0.16	0.18	0.16	1.19	0.64	1.31	0.88
MMP17	10.27	10.37	10.39	11.02	5.97	6.66	5.72	2.89
MMP19	0.16	0.07	0.14	0.11	0.25	0.13	0.19	0.15
MMP2	0.38	0.16	0.51	0.25	0.83	0.36	0.53	1.1
MMP20	0	0.12	0	0	0	0	0.03	0.25
MMP21	0.13	0.1	0	0.06	0.05	0	0	0.03
MMP23B	1.75	0.95	1.1	0.91	0.76	0.54	1.34	0.91
MMP24	0.52	0.69	0.68	0.66	0.63	0.55	0.74	0.5
MMP25	0.18	0.14	0.38	0.07	0.33	0.34	0.13	0.12
MMP26	0	0	0	0	0.06	0	0.06	0
MMP27	0	0	0	0	0	0	0	0
